word,emoji,word_vn_upcase,word_vn,emoji_no_punc
:person_cartwheeling:,🤸,người nhào lộn,người nhào lộn,person cartwheeling
:person_cartwheeling_dark_skin_tone:,🤸🏿,người màu da sẫm nhào lộn,người màu da sẫm nhào lộn,person cartwheeling dark skin tone
:person_cartwheeling_light_skin_tone:,🤸🏻,người màu da sáng nhào lộn,người màu da sáng nhào lộn,person cartwheeling light skin tone
:person_cartwheeling_medium-dark_skin_tone:,🤸🏾,người màu da sẫm vừa nhào lộn,người màu da sẫm vừa nhào lộn,person cartwheeling medium-dark skin tone
:person_cartwheeling_medium-light_skin_tone:,🤸🏼,người màu da sáng vừa nhào lộn,người màu da sáng vừa nhào lộn,person cartwheeling medium-light skin tone
:person_cartwheeling_medium_skin_tone:,🤸🏽,người màu da thường nhào lộn,người màu da thường nhào lộn,person cartwheeling medium skin tone
:person_climbing:,🧗,người leo núi,người leo núi,person climbing
:person_climbing_dark_skin_tone:,🧗🏿,người màu da sẫm leo núi,người màu da sẫm leo núi,person climbing dark skin tone
:person_climbing_light_skin_tone:,🧗🏻,người màu da sáng leo núi,người màu da sáng leo núi,person climbing light skin tone
:person_climbing_medium-dark_skin_tone:,🧗🏾,người màu da sẫm vừa leo núi,người màu da sẫm vừa leo núi,person climbing medium-dark skin tone
:person_climbing_medium-light_skin_tone:,🧗🏼,người màu da sáng vừa leo núi,người màu da sáng vừa leo núi,person climbing medium-light skin tone
:person_climbing_medium_skin_tone:,🧗🏽,người màu da thường leo núi,người màu da thường leo núi,person climbing medium skin tone
:person_curly_hair:,🧑‍🦱,Người tóc xoăn,người tóc xoăn,person curly hair
:person_dark_skin_tone:,🧑🏿,người da sẫm,người da sẫm,person dark skin tone
:person_dark_skin_tone_bald:,🧑🏿‍🦲,người hói da sẫm,người hói da sẫm,person dark skin tone bald
:person_dark_skin_tone_beard:,🧔🏿,người có râu da sẫm,người có râu da sẫm,person dark skin tone beard
:person_dark_skin_tone_blond_hair:,👱🏿,người tóc vàng da sẫm,người tóc vàng da sẫm,person dark skin tone blond hair
:person_dark_skin_tone_curly_hair:,🧑🏿‍🦱,người tóc xoăn da sẫm,người tóc xoăn da sẫm,person dark skin tone curly hair
:person_dark_skin_tone_red_hair:,🧑🏿‍🦰,người tóc đỏ da sẫm,người tóc đỏ da sẫm,person dark skin tone red hair
:person_dark_skin_tone_white_hair:,🧑🏿‍🦳,người tóc trắng da sẫm,người tóc trắng da sẫm,person dark skin tone white hair
:person_facepalming:,🤦,người lấy tay che mặt,người lấy tay che mặt,person facepalming
:person_facepalming_dark_skin_tone:,🤦🏿,người màu da sẫm lấy tay che mặt,người màu da sẫm lấy tay che mặt,person facepalming dark skin tone
:person_facepalming_light_skin_tone:,🤦🏻,người màu da sáng lấy tay che mặt,người màu da sáng lấy tay che mặt,person facepalming light skin tone
:person_facepalming_medium-dark_skin_tone:,🤦🏾,người màu da sẫm vừa lấy tay che mặt,người màu da sẫm vừa lấy tay che mặt,person facepalming medium-dark skin tone
:person_facepalming_medium-light_skin_tone:,🤦🏼,người màu da sáng vừa lấy tay che mặt,người màu da sáng vừa lấy tay che mặt,person facepalming medium-light skin tone
:person_facepalming_medium_skin_tone:,🤦🏽,người màu da thường lấy tay che mặt,người màu da thường lấy tay che mặt,person facepalming medium skin tone
:person_feeding_baby:,🧑‍🍼,người cho em bé ăn,người cho em bé ăn,person feeding baby
:person_feeding_baby_dark_skin_tone:,🧑🏿‍🍼,người màu da sẫm cho em bé ăn,người màu da sẫm cho em bé ăn,person feeding baby dark skin tone
:person_feeding_baby_light_skin_tone:,🧑🏻‍🍼,người màu da sáng cho em bé ăn,người màu da sáng cho em bé ăn,person feeding baby light skin tone
:person_feeding_baby_medium-dark_skin_tone:,🧑🏾‍🍼,người màu da sẫm vừa cho em bé ăn,người màu da sẫm vừa cho em bé ăn,person feeding baby medium-dark skin tone
:person_feeding_baby_medium-light_skin_tone:,🧑🏼‍🍼,người màu da sáng vừa cho em bé ăn,người màu da sáng vừa cho em bé ăn,person feeding baby medium-light skin tone
:person_feeding_baby_medium_skin_tone:,🧑🏽‍🍼,người màu da thường cho em bé ăn,người màu da thường cho em bé ăn,person feeding baby medium skin tone
:person_fencing:,🤺,người đấu kiếm,người đấu kiếm,person fencing
:person_frowning:,🙍,Người cau mày,người cau mày,person frowning
:person_frowning_dark_skin_tone:,🙍🏿,người cau mày màu da sẫm,người cau mày màu da sẫm,person frowning dark skin tone
:person_frowning_light_skin_tone:,🙍🏻,người cau mày màu da sáng,người cau mày màu da sáng,person frowning light skin tone
:person_frowning_medium-dark_skin_tone:,🙍🏾,người cau mày màu da sẫm vừa,người cau mày màu da sẫm vừa,person frowning medium-dark skin tone
:person_frowning_medium-light_skin_tone:,🙍🏼,người cau mày màu da sáng vừa,người cau mày màu da sáng vừa,person frowning medium-light skin tone
:person_frowning_medium_skin_tone:,🙍🏽,người cau mày màu da thường,người cau mày màu da thường,person frowning medium skin tone
:person_gesturing_NO:,🙅,người làm cử chỉ không,người làm cử chỉ không,person gesturing NO
:person_gesturing_NO_dark_skin_tone:,🙅🏿,người màu da sẫm làm cử chỉ không,người màu da sẫm làm cử chỉ không,person gesturing NO dark skin tone
:person_gesturing_NO_light_skin_tone:,🙅🏻,người màu da sáng làm cử chỉ không,người màu da sáng làm cử chỉ không,person gesturing NO light skin tone
:person_gesturing_NO_medium-dark_skin_tone:,🙅🏾,người màu da sẫm vừa làm cử chỉ không,người màu da sẫm vừa làm cử chỉ không,person gesturing NO medium-dark skin tone
:person_gesturing_NO_medium-light_skin_tone:,🙅🏼,người màu da sáng vừa làm cử chỉ không,người màu da sáng vừa làm cử chỉ không,person gesturing NO medium-light skin tone
:person_gesturing_NO_medium_skin_tone:,🙅🏽,người màu da thường làm cử chỉ không,người màu da thường làm cử chỉ không,person gesturing NO medium skin tone
:person_gesturing_OK:,🙆,người làm cử chỉ ok,người làm cử chỉ ok,person gesturing OK
:person_gesturing_OK_dark_skin_tone:,🙆🏿,người màu da sẫm làm cử chỉ ok,người màu da sẫm làm cử chỉ ok,person gesturing OK dark skin tone
:person_gesturing_OK_light_skin_tone:,🙆🏻,người màu da sáng làm cử chỉ ok,người màu da sáng làm cử chỉ ok,person gesturing OK light skin tone
:person_gesturing_OK_medium-dark_skin_tone:,🙆🏾,người màu da sẫm vừa làm cử chỉ ok,người màu da sẫm vừa làm cử chỉ ok,person gesturing OK medium-dark skin tone
:person_gesturing_OK_medium-light_skin_tone:,🙆🏼,người màu da sáng vừa làm cử chỉ ok,người màu da sáng vừa làm cử chỉ ok,person gesturing OK medium-light skin tone
:person_gesturing_OK_medium_skin_tone:,🙆🏽,người màu da thường làm cử chỉ ok,người màu da thường làm cử chỉ ok,person gesturing OK medium skin tone
:person_getting_haircut:,💇,người đang được cắt tóc,người đang được cắt tóc,person getting haircut
:person_getting_haircut_dark_skin_tone:,💇🏿,người màu da sẫm đang được cắt tóc,người màu da sẫm đang được cắt tóc,person getting haircut dark skin tone
:person_getting_haircut_light_skin_tone:,💇🏻,người màu da sáng đang được cắt tóc,người màu da sáng đang được cắt tóc,person getting haircut light skin tone
:person_getting_haircut_medium-dark_skin_tone:,💇🏾,người màu da sẫm vừa đang được cắt tóc,người màu da sẫm vừa đang được cắt tóc,person getting haircut medium-dark skin tone
:person_getting_haircut_medium-light_skin_tone:,💇🏼,người màu da sáng vừa đang được cắt tóc,người màu da sáng vừa đang được cắt tóc,person getting haircut medium-light skin tone
:person_getting_haircut_medium_skin_tone:,💇🏽,người màu da thường đang được cắt tóc,người màu da thường đang được cắt tóc,person getting haircut medium skin tone
:person_getting_massage:,💆,người nhận được tin nhắn,người nhận được tin nhắn,person getting massage
:person_getting_massage_dark_skin_tone:,💆🏿,người màu da sẫm nhận được tin nhắn,người màu da sẫm nhận được tin nhắn,person getting massage dark skin tone
:person_getting_massage_light_skin_tone:,💆🏻,người màu da sáng nhận được tin nhắn,người màu da sáng nhận được tin nhắn,person getting massage light skin tone
:person_getting_massage_medium-dark_skin_tone:,💆🏾,người màu da sẫm vừa nhận được tin nhắn,người màu da sẫm vừa nhận được tin nhắn,person getting massage medium-dark skin tone
:person_getting_massage_medium-light_skin_tone:,💆🏼,người màu da sáng vừa nhận được tin nhắn,người màu da sáng vừa nhận được tin nhắn,person getting massage medium-light skin tone
:person_getting_massage_medium_skin_tone:,💆🏽,người màu da thường nhận được tin nhắn,người màu da thường nhận được tin nhắn,person getting massage medium skin tone
:person_golfing:,🏌,người chơi gôn,người chơi gôn,person golfing
:person_golfing_dark_skin_tone:,🏌🏿,người màu da sẫm chơi gôn,người màu da sẫm chơi gôn,person golfing dark skin tone
:person_golfing_light_skin_tone:,🏌🏻,người màu da sáng chơi gôn,người màu da sáng chơi gôn,person golfing light skin tone
:person_golfing_medium-dark_skin_tone:,🏌🏾,người màu da sẫm vừa chơi gôn,người màu da sẫm vừa chơi gôn,person golfing medium-dark skin tone
:person_golfing_medium-light_skin_tone:,🏌🏼,người màu da sáng vừa chơi gôn,người màu da sáng vừa chơi gôn,person golfing medium-light skin tone
:person_golfing_medium_skin_tone:,🏌🏽,người màu da thường chơi gôn,người màu da thường chơi gôn,person golfing medium skin tone
:person_in_bed:,🛌,người trên giường,người trên giường,person in bed
:person_in_bed_dark_skin_tone:,🛌🏿,người trên giường màu da sẫm,người trên giường màu da sẫm,person in bed dark skin tone
:person_in_bed_light_skin_tone:,🛌🏻,người trên giường màu da sáng,người trên giường màu da sáng,person in bed light skin tone
:person_in_bed_medium-dark_skin_tone:,🛌🏾,người trên giường màu da sẫm vừa,người trên giường màu da sẫm vừa,person in bed medium-dark skin tone
:person_in_bed_medium-light_skin_tone:,🛌🏼,người trên giường màu da sáng vừa,người trên giường màu da sáng vừa,person in bed medium-light skin tone
:person_in_bed_medium_skin_tone:,🛌🏽,người trên giường màu da thường,người trên giường màu da thường,person in bed medium skin tone
:person_in_lotus_position:,🧘,người đang ngồi thiền,người đang ngồi thiền,person in lotus position
:person_in_lotus_position_dark_skin_tone:,🧘🏿,người màu da sẫm đang ngồi thiền,người màu da sẫm đang ngồi thiền,person in lotus position dark skin tone
:person_in_lotus_position_light_skin_tone:,🧘🏻,người màu da sáng đang ngồi thiền,người màu da sáng đang ngồi thiền,person in lotus position light skin tone
:person_in_lotus_position_medium-dark_skin_tone:,🧘🏾,người màu da sẫm vừa đang ngồi thiền,người màu da sẫm vừa đang ngồi thiền,person in lotus position medium-dark skin tone
:person_in_lotus_position_medium-light_skin_tone:,🧘🏼,người màu da sáng vừa đang ngồi thiền,người màu da sáng vừa đang ngồi thiền,person in lotus position medium-light skin tone
:person_in_lotus_position_medium_skin_tone:,🧘🏽,người màu da thường đang ngồi thiền,người màu da thường đang ngồi thiền,person in lotus position medium skin tone
:person_in_manual_wheelchair:,🧑‍🦽,người lăn xe lăn bằng tay,người lăn xe lăn bằng tay,person in manual wheelchair
:person_in_manual_wheelchair_dark_skin_tone:,🧑🏿‍🦽,người màu da sẫm lăn xe lăn bằng tay,người màu da sẫm lăn xe lăn bằng tay,person in manual wheelchair dark skin tone
:person_in_manual_wheelchair_light_skin_tone:,🧑🏻‍🦽,người màu da sáng lăn xe lăn bằng tay,người màu da sáng lăn xe lăn bằng tay,person in manual wheelchair light skin tone
:person_in_manual_wheelchair_medium-dark_skin_tone:,🧑🏾‍🦽,người màu da sẫm vừa lăn xe lăn bằng tay,người màu da sẫm vừa lăn xe lăn bằng tay,person in manual wheelchair medium-dark skin tone
:person_in_manual_wheelchair_medium-light_skin_tone:,🧑🏼‍🦽,người màu da sáng vừa lăn xe lăn bằng tay,người màu da sáng vừa lăn xe lăn bằng tay,person in manual wheelchair medium-light skin tone
:person_in_manual_wheelchair_medium_skin_tone:,🧑🏽‍🦽,người màu da thường lăn xe lăn bằng tay,người màu da thường lăn xe lăn bằng tay,person in manual wheelchair medium skin tone
:person_in_motorized_wheelchair:,🧑‍🦼,người trên xe lăn có động cơ,người trên xe lăn có động cơ,person in motorized wheelchair
:person_in_motorized_wheelchair_dark_skin_tone:,🧑🏿‍🦼,người trên xe lăn có động cơ màu da sẫm,người trên xe lăn có động cơ màu da sẫm,person in motorized wheelchair dark skin tone
:person_in_motorized_wheelchair_light_skin_tone:,🧑🏻‍🦼,người trên xe lăn có động cơ màu da sáng,người trên xe lăn có động cơ màu da sáng,person in motorized wheelchair light skin tone
:person_in_motorized_wheelchair_medium-dark_skin_tone:,🧑🏾‍🦼,người trên xe lăn có động cơ màu da sẫm vừa,người trên xe lăn có động cơ màu da sẫm vừa,person in motorized wheelchair medium-dark skin tone
:person_in_motorized_wheelchair_medium-light_skin_tone:,🧑🏼‍🦼,người trên xe lăn có động cơ màu da sáng vừa,người trên xe lăn có động cơ màu da sáng vừa,person in motorized wheelchair medium-light skin tone
:person_in_motorized_wheelchair_medium_skin_tone:,🧑🏽‍🦼,người trên xe lăn có động cơ màu da thường,người trên xe lăn có động cơ màu da thường,person in motorized wheelchair medium skin tone
:person_in_steamy_room:,🧖,người trong phòng xông hơi,người trong phòng xông hơi,person in steamy room
:person_in_steamy_room_dark_skin_tone:,🧖🏿,người màu da sẫm trong phòng xông hơi,người màu da sẫm trong phòng xông hơi,person in steamy room dark skin tone
:person_in_steamy_room_light_skin_tone:,🧖🏻,người màu da sáng trong phòng xông hơi,người màu da sáng trong phòng xông hơi,person in steamy room light skin tone
:person_in_steamy_room_medium-dark_skin_tone:,🧖🏾,người màu da sẫm vừa trong phòng xông hơi,người màu da sẫm vừa trong phòng xông hơi,person in steamy room medium-dark skin tone
:person_in_steamy_room_medium-light_skin_tone:,🧖🏼,người màu da sáng vừa trong phòng xông hơi,người màu da sáng vừa trong phòng xông hơi,person in steamy room medium-light skin tone
:person_in_steamy_room_medium_skin_tone:,🧖🏽,người màu da thường trong phòng xông hơi,người màu da thường trong phòng xông hơi,person in steamy room medium skin tone
:person_in_suit_levitating:,🕴,người mang com lê bay lên,người mang com lê bay lên,person in suit levitating
:person_in_suit_levitating_dark_skin_tone:,🕴🏿,người mang com lê bay lên màu da sẫm,người mang com lê bay lên màu da sẫm,person in suit levitating dark skin tone
:person_in_suit_levitating_light_skin_tone:,🕴🏻,người mang com lê bay lên màu da sáng,người mang com lê bay lên màu da sáng,person in suit levitating light skin tone
:person_in_suit_levitating_medium-dark_skin_tone:,🕴🏾,người mang com lê bay lên màu da sẫm vừa,người mang com lê bay lên màu da sẫm vừa,person in suit levitating medium-dark skin tone
:person_in_suit_levitating_medium-light_skin_tone:,🕴🏼,người mang com lê bay lên màu da sáng vừa,người mang com lê bay lên màu da sáng vừa,person in suit levitating medium-light skin tone
:person_in_suit_levitating_medium_skin_tone:,🕴🏽,người mang com lê bay lên màu da thường,người mang com lê bay lên màu da thường,person in suit levitating medium skin tone
:person_in_tuxedo:,🤵,người mang áo đuôi tôm,người mang áo đuôi tôm,person in tuxedo
:person_in_tuxedo_dark_skin_tone:,🤵🏿,người màu da sẫm mang áo đuôi tôm,người màu da sẫm mang áo đuôi tôm,person in tuxedo dark skin tone
:person_in_tuxedo_light_skin_tone:,🤵🏻,người màu da sáng mang áo đuôi tôm,người màu da sáng mang áo đuôi tôm,person in tuxedo light skin tone
:person_in_tuxedo_medium-dark_skin_tone:,🤵🏾,người màu da sẫm vừa mang áo đuôi tôm,người màu da sẫm vừa mang áo đuôi tôm,person in tuxedo medium-dark skin tone
:person_in_tuxedo_medium-light_skin_tone:,🤵🏼,người màu da sáng vừa mang áo đuôi tôm,người màu da sáng vừa mang áo đuôi tôm,person in tuxedo medium-light skin tone
:person_in_tuxedo_medium_skin_tone:,🤵🏽,người màu da thường mang áo đuôi tôm,người màu da thường mang áo đuôi tôm,person in tuxedo medium skin tone
:person_juggling:,🤹,người tung hứng,người tung hứng,person juggling
:person_juggling_dark_skin_tone:,🤹🏿,người màu da sẫm tung hứng,người màu da sẫm tung hứng,person juggling dark skin tone
:person_juggling_light_skin_tone:,🤹🏻,người màu da sáng tung hứng,người màu da sáng tung hứng,person juggling light skin tone
:person_juggling_medium-dark_skin_tone:,🤹🏾,người màu da sẫm vừa tung hứng,người màu da sẫm vừa tung hứng,person juggling medium-dark skin tone
:person_juggling_medium-light_skin_tone:,🤹🏼,người màu da sáng vừa tung hứng,người màu da sáng vừa tung hứng,person juggling medium-light skin tone
:person_juggling_medium_skin_tone:,🤹🏽,người màu da thường tung hứng,người màu da thường tung hứng,person juggling medium skin tone
:person_kneeling:,🧎,người đang quỳ,người đang quỳ,person kneeling
:person_kneeling_dark_skin_tone:,🧎🏿,người màu da sẫm đang quỳ,người màu da sẫm đang quỳ,person kneeling dark skin tone
:person_kneeling_light_skin_tone:,🧎🏻,người màu da sáng đang quỳ,người màu da sáng đang quỳ,person kneeling light skin tone
:person_kneeling_medium-dark_skin_tone:,🧎🏾,người màu da sẫm vừa đang quỳ,người màu da sẫm vừa đang quỳ,person kneeling medium-dark skin tone
:person_kneeling_medium-light_skin_tone:,🧎🏼,người màu da sáng vừa đang quỳ,người màu da sáng vừa đang quỳ,person kneeling medium-light skin tone
:person_kneeling_medium_skin_tone:,🧎🏽,người màu da thường đang quỳ,người màu da thường đang quỳ,person kneeling medium skin tone
:person_lifting_weights:,🏋,người nâng tạ,người nâng tạ,person lifting weights
:person_lifting_weights_dark_skin_tone:,🏋🏿,người màu da sẫm nâng tạ,người màu da sẫm nâng tạ,person lifting weights dark skin tone
:person_lifting_weights_light_skin_tone:,🏋🏻,người màu da sáng nâng tạ,người màu da sáng nâng tạ,person lifting weights light skin tone
:person_lifting_weights_medium-dark_skin_tone:,🏋🏾,người màu da sẫm vừa nâng tạ,người màu da sẫm vừa nâng tạ,person lifting weights medium-dark skin tone
:person_lifting_weights_medium-light_skin_tone:,🏋🏼,người màu da sáng vừa nâng tạ,người màu da sáng vừa nâng tạ,person lifting weights medium-light skin tone
:person_lifting_weights_medium_skin_tone:,🏋🏽,người màu da thường nâng tạ,người màu da thường nâng tạ,person lifting weights medium skin tone
:person_light_skin_tone:,🧑🏻,người da sáng,người da sáng,person light skin tone
:person_light_skin_tone_bald:,🧑🏻‍🦲,người hói da sáng,người hói da sáng,person light skin tone bald
:person_light_skin_tone_beard:,🧔🏻,người có râu da sáng,người có râu da sáng,person light skin tone beard
:person_light_skin_tone_blond_hair:,👱🏻,người tóc vàng da sáng,người tóc vàng da sáng,person light skin tone blond hair
:person_light_skin_tone_curly_hair:,🧑🏻‍🦱,người tóc xoăn da sáng,người tóc xoăn da sáng,person light skin tone curly hair
:person_light_skin_tone_red_hair:,🧑🏻‍🦰,người tóc đỏ da sáng,người tóc đỏ da sáng,person light skin tone red hair
:person_light_skin_tone_white_hair:,🧑🏻‍🦳,người tóc trắng da sáng,người tóc trắng da sáng,person light skin tone white hair
:person_medium-dark_skin_tone:,🧑🏾,người da sẫm vừa,người da sẫm vừa,person medium-dark skin tone
:person_medium-dark_skin_tone_bald:,🧑🏾‍🦲,người hói da sẫm vừa,người hói da sẫm vừa,person medium-dark skin tone bald
:person_medium-dark_skin_tone_beard:,🧔🏾,người có râu da sẫm vừa,người có râu da sẫm vừa,person medium-dark skin tone beard
:person_medium-dark_skin_tone_blond_hair:,👱🏾,người tóc vàng da sẫm vừa,người tóc vàng da sẫm vừa,person medium-dark skin tone blond hair
:person_medium-dark_skin_tone_curly_hair:,🧑🏾‍🦱,người tóc xoăn da sẫm vừa,người tóc xoăn da sẫm vừa,person medium-dark skin tone curly hair
:person_medium-dark_skin_tone_red_hair:,🧑🏾‍🦰,người tóc đỏ da sẫm vừa,người tóc đỏ da sẫm vừa,person medium-dark skin tone red hair
:person_medium-dark_skin_tone_white_hair:,🧑🏾‍🦳,người tóc trắng da sẫm vừa,người tóc trắng da sẫm vừa,person medium-dark skin tone white hair
:person_medium-light_skin_tone:,🧑🏼,người da sáng vừa,người da sáng vừa,person medium-light skin tone
:person_medium-light_skin_tone_bald:,🧑🏼‍🦲,người hói da sáng vừa,người hói da sáng vừa,person medium-light skin tone bald
:person_medium-light_skin_tone_beard:,🧔🏼,người có râu da sáng vừa,người có râu da sáng vừa,person medium-light skin tone beard
:person_medium-light_skin_tone_blond_hair:,👱🏼,người tóc vàng da sáng vừa,người tóc vàng da sáng vừa,person medium-light skin tone blond hair
:person_medium-light_skin_tone_curly_hair:,🧑🏼‍🦱,người tóc xoăn da sáng vừa,người tóc xoăn da sáng vừa,person medium-light skin tone curly hair
:person_medium-light_skin_tone_red_hair:,🧑🏼‍🦰,người tóc đỏ da sáng vừa,người tóc đỏ da sáng vừa,person medium-light skin tone red hair
:person_medium-light_skin_tone_white_hair:,🧑🏼‍🦳,người tóc trắng da sáng vừa,người tóc trắng da sáng vừa,person medium-light skin tone white hair
:person_medium_skin_tone:,🧑🏽,người da thường,người da thường,person medium skin tone
:person_medium_skin_tone_bald:,🧑🏽‍🦲,người hói da thường,người hói da thường,person medium skin tone bald
:person_medium_skin_tone_beard:,🧔🏽,người có râu da thường,người có râu da thường,person medium skin tone beard
:person_medium_skin_tone_blond_hair:,👱🏽,người tóc vàng da thường,người tóc vàng da thường,person medium skin tone blond hair
:person_medium_skin_tone_curly_hair:,🧑🏽‍🦱,người tóc xoăn da thường,người tóc xoăn da thường,person medium skin tone curly hair
:person_medium_skin_tone_red_hair:,🧑🏽‍🦰,người tóc đỏ da thường,người tóc đỏ da thường,person medium skin tone red hair
:person_medium_skin_tone_white_hair:,🧑🏽‍🦳,người tóc trắng da thường,người tóc trắng da thường,person medium skin tone white hair
:person_mountain_biking:,🚵,người đi xe đạp leo núi,người đi xe đạp leo núi,person mountain biking
:person_mountain_biking_dark_skin_tone:,🚵🏿,người màu da sẫm đi xe đạp leo núi,người màu da sẫm đi xe đạp leo núi,person mountain biking dark skin tone
:person_mountain_biking_light_skin_tone:,🚵🏻,người màu da sáng đi xe đạp leo núi,người màu da sáng đi xe đạp leo núi,person mountain biking light skin tone
:person_mountain_biking_medium-dark_skin_tone:,🚵🏾,người màu da sẫm vừa đi xe đạp leo núi,người màu da sẫm vừa đi xe đạp leo núi,person mountain biking medium-dark skin tone
:person_mountain_biking_medium-light_skin_tone:,🚵🏼,người màu da sáng vừa đi xe đạp leo núi,người màu da sáng vừa đi xe đạp leo núi,person mountain biking medium-light skin tone
:person_mountain_biking_medium_skin_tone:,🚵🏽,người màu da thường đi xe đạp leo núi,người màu da thường đi xe đạp leo núi,person mountain biking medium skin tone
:person_playing_handball:,🤾,người chơi bóng ném,người chơi bóng ném,person playing handball
:person_playing_handball_dark_skin_tone:,🤾🏿,người màu da sẫm chơi bóng ném,người màu da sẫm chơi bóng ném,person playing handball dark skin tone
:person_playing_handball_light_skin_tone:,🤾🏻,người màu da sáng chơi bóng ném,người màu da sáng chơi bóng ném,person playing handball light skin tone
:person_playing_handball_medium-dark_skin_tone:,🤾🏾,người màu da sẫm vừa chơi bóng ném,người màu da sẫm vừa chơi bóng ném,person playing handball medium-dark skin tone
:person_playing_handball_medium-light_skin_tone:,🤾🏼,người màu da sáng vừa chơi bóng ném,người màu da sáng vừa chơi bóng ném,person playing handball medium-light skin tone
:person_playing_handball_medium_skin_tone:,🤾🏽,người màu da thường chơi bóng ném,người màu da thường chơi bóng ném,person playing handball medium skin tone
:person_playing_water_polo:,🤽,người chơi bóng nước,người chơi bóng nước,person playing water polo
:person_playing_water_polo_dark_skin_tone:,🤽🏿,người màu da sẫm chơi bóng nước,người màu da sẫm chơi bóng nước,person playing water polo dark skin tone
:person_playing_water_polo_light_skin_tone:,🤽🏻,người màu da sáng chơi bóng nước,người màu da sáng chơi bóng nước,person playing water polo light skin tone
:person_playing_water_polo_medium-dark_skin_tone:,🤽🏾,người màu da sẫm vừa chơi bóng nước,người màu da sẫm vừa chơi bóng nước,person playing water polo medium-dark skin tone
:person_playing_water_polo_medium-light_skin_tone:,🤽🏼,người màu da sáng vừa chơi bóng nước,người màu da sáng vừa chơi bóng nước,person playing water polo medium-light skin tone
:person_playing_water_polo_medium_skin_tone:,🤽🏽,người màu da thường chơi bóng nước,người màu da thường chơi bóng nước,person playing water polo medium skin tone
:person_pouting:,🙎,người bĩu môi,người bĩu môi,person pouting
:person_pouting_dark_skin_tone:,🙎🏿,người màu da sẫm bĩu môi,người màu da sẫm bĩu môi,person pouting dark skin tone
:person_pouting_light_skin_tone:,🙎🏻,người màu da sáng bĩu môi,người màu da sáng bĩu môi,person pouting light skin tone
:person_pouting_medium-dark_skin_tone:,🙎🏾,người màu da sẫm vừa bĩu môi,người màu da sẫm vừa bĩu môi,person pouting medium-dark skin tone
:person_pouting_medium-light_skin_tone:,🙎🏼,người màu da sáng vừa bĩu môi,người màu da sáng vừa bĩu môi,person pouting medium-light skin tone
:person_pouting_medium_skin_tone:,🙎🏽,người màu da thường bĩu môi,người màu da thường bĩu môi,person pouting medium skin tone
:person_raising_hand:,🙋,người giơ tay,người giơ tay,person raising hand
:person_raising_hand_dark_skin_tone:,🙋🏿,người màu da sẫm giơ tay,người màu da sẫm giơ tay,person raising hand dark skin tone
:person_raising_hand_light_skin_tone:,🙋🏻,người màu da sáng giơ tay,người màu da sáng giơ tay,person raising hand light skin tone
:person_raising_hand_medium-dark_skin_tone:,🙋🏾,người màu da sẫm vừa giơ tay,người màu da sẫm vừa giơ tay,person raising hand medium-dark skin tone
:person_raising_hand_medium-light_skin_tone:,🙋🏼,người màu da sáng vừa giơ tay,người màu da sáng vừa giơ tay,person raising hand medium-light skin tone
:person_raising_hand_medium_skin_tone:,🙋🏽,người màu da thường giơ tay,người màu da thường giơ tay,person raising hand medium skin tone
:person_red_hair:,🧑‍🦰,người tóc đỏ,người tóc đỏ,person red hair
:person_rowing_boat:,🚣,người chèo thuyền,người chèo thuyền,person rowing boat
:person_rowing_boat_dark_skin_tone:,🚣🏿,người màu da sẫm chèo thuyền,người màu da sẫm chèo thuyền,person rowing boat dark skin tone
:person_rowing_boat_light_skin_tone:,🚣🏻,người màu da sáng chèo thuyền,người màu da sáng chèo thuyền,person rowing boat light skin tone
:person_rowing_boat_medium-dark_skin_tone:,🚣🏾,người màu da sẫm vừa chèo thuyền,người màu da sẫm vừa chèo thuyền,person rowing boat medium-dark skin tone
:person_rowing_boat_medium-light_skin_tone:,🚣🏼,người màu da sáng vừa chèo thuyền,người màu da sáng vừa chèo thuyền,person rowing boat medium-light skin tone
:person_rowing_boat_medium_skin_tone:,🚣🏽,người màu da thường chèo thuyền,người màu da thường chèo thuyền,person rowing boat medium skin tone
:person_running:,🏃,người chạy,người chạy,person running
:person_running_dark_skin_tone:,🏃🏿,người màu da sẫm chạy,người màu da sẫm chạy,person running dark skin tone
:person_running_light_skin_tone:,🏃🏻,người màu da sáng chạy,người màu da sáng chạy,person running light skin tone
:person_running_medium-dark_skin_tone:,🏃🏾,người màu da sẫm vừa chạy,người màu da sẫm vừa chạy,person running medium-dark skin tone
:person_running_medium-light_skin_tone:,🏃🏼,người màu da sáng vừa chạy,người màu da sáng vừa chạy,person running medium-light skin tone
:person_running_medium_skin_tone:,🏃🏽,người màu da thường chạy,người màu da thường chạy,person running medium skin tone
:person_shrugging:,🤷,người nhún vai,người nhún vai,person shrugging
:person_shrugging_dark_skin_tone:,🤷🏿,người màu da sẫm nhún vai,người màu da sẫm nhún vai,person shrugging dark skin tone
:person_shrugging_light_skin_tone:,🤷🏻,người màu da sáng nhún vai,người màu da sáng nhún vai,person shrugging light skin tone
:person_shrugging_medium-dark_skin_tone:,🤷🏾,người màu da sẫm vừa nhún vai,người màu da sẫm vừa nhún vai,person shrugging medium-dark skin tone
:person_shrugging_medium-light_skin_tone:,🤷🏼,người màu da sáng vừa nhún vai,người màu da sáng vừa nhún vai,person shrugging medium-light skin tone
